name,url,chemistry,chemistry html,IMA Symbol,Strunz class,crystal system,crystal class,color,cleavage,mohs,streak,gravity,luster,habit,varieties
Evenkite,https://en.wikipedia.org/wiki/Evenkite,C24H50,C<sub>24</sub>H<sub>50</sub>,Evk,10.BA.50,Orthorhombic,Dipyramidal,Colorless or pale yellow,{001} Perfect,1,,0.87,Waxy,"Tabular pseudohexagonal crystals, granular, disseminated",
Eveslogite,https://en.wikipedia.org/wiki/Eveslogite,"(Ca,K,Na,Sr,Ba)48[(Ti,Nb,Fe,Mn)12(OH)12Si48O144](F,OH,Cl)14","(Ca,K,Na,Sr,Ba)<span>14</sub></span>",Evl,9.DG.97,Monoclinic,Prismatic,,perfect {001} and {010},5,white and at times yellow-brown,,vitreous to resinous; silky,,
Fabianite,https://en.wikipedia.org/wiki/Fabianite,CaB3O5(OH),CaB<sub>3</sub>O<sub>5</sub>(OH),Fbn,6.FC.20,Monoclinic,Prismatic,,,,,,,,
Farneseite,https://en.wikipedia.org/wiki/Farneseite,"(Na,Ca,K)56(Al6Si6O24)7(SO4)12·6H2O","(Na,Ca,K)<sub>12</sub>·6H<sub>2</sub>O",Far,9.FB.05,Hexagonal,Dihexagonal dipyramidal,Colorless,Poor on {001},,White,2.52,Vitreous,Prismatic crystals,
Faujasite,https://en.wikipedia.org/wiki/Faujasite,"(Na2,Ca,Mg)3.5[Al7Si17O48]·32(H2O)",(Na<sub>2</sub>O),Fau,9.GD.30,Cubic,Hexoctahedral,"Colorless, white","{111}, perfect",4.5-5,White,1.92–1.93,Vitreous to adamantine,Octahedral or rarely trisoctahedral crystals up to 4 mm in size,
Faustite,https://en.wikipedia.org/wiki/Faustite,,,,,,,,,,,,,,
Fayalite,https://en.wikipedia.org/wiki/Fayalite,Fe2SiO4,Fe<sub>2</sub>SiO<sub>4</sub>,Fa,9.AC.05,Orthorhombic,Dipyramidal,"Greenish yellow, yellow-brown, brown; pale yellow to amber in thin section","{010} moderate, {100} imperfect",6.5 – 7.0,White,4392,Vitreous to resinous on fractures,"Commonly granular, compact, or massive",
Feldspar,https://en.wikipedia.org/wiki/Feldspar,KAlSi3O8 – NaAlSi3O8 – CaAl2Si2O8,KAlSi<span>8</sub></span>,Fsp,,Triclinic,or monoclinic,"pink, white, gray, brown, blue",two or three,6.0–6.5,white,2.55–2.76,Vitreous,,
Feldspathoid,https://en.wikipedia.org/wiki/Feldspathoid,,,,,,,,,,,,,,
Felsőbányaite,https://en.wikipedia.org/wiki/Fels%C5%91b%C3%A1nyaite,Al4(SO4)(OH)10·4H2O,Al<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>10</sub>·4H<sub>2</sub>O,Fsb,7.DD.05,Monoclinic,Sphenoidal,"White to pale yellow, pale brown",Distinct to good on {010} and {100},1.5,,2.33,"Vitreous, pearly on cleavage surfaces","Globular masses, minute rhombic crystals",
Ferberite,https://en.wikipedia.org/wiki/Ferberite,FeWO4,FeWO<sub>4</sub>,Feb,4.DB.30,Monoclinic,Prismatic,"Black, dark brown in transmitted light",Perfect on {010}; partings on {100} and {102},4–4.5,Brownish black,7.58,Submetallic to metallic adamantine,Bladed crystals; massive,
Fergusonite,https://en.wikipedia.org/wiki/Fergusonite,REENbO4 (REE: rare-earth element),REENbO<sub>4</sub>(REE:rare-earthelement),Fgs,7.GA.05,Tetragonal,Dipyramidal,"Black, black, brown, gray, yellow",Indistinct,5.5–6,Brown,,Submetallic,"Metamict – mineral originally crystalline, now amorphous due to radiation damage",
Feroxyhyte,https://en.wikipedia.org/wiki/Feroxyhyte,δ-Fe3+O(OH),δ-Fe<sup>3+</sup>O(OH),Fox,4.FE.40,Hexagonal,Unknown space group,"Brown, yellow-brown",,,Yellow,4.31,,"Concretionary, massive, nodular",
Ferrierite,https://en.wikipedia.org/wiki/Ferrierite,"(""A""position)3-5Mg[Al5-7Si27.5-31O72]·18H2O","(""A""position)<sub>72</sub>]·18H<sub>2</sub>O",Frr,9.GD.50,Orthorhombic,Dipyramidal,"white, colorless, pinkish, orange to red",,3 – 3.5,white,,,,
Ferrihydrite,https://en.wikipedia.org/wiki/Ferrihydrite,(Fe3+)2O3•0.5H2O,(Fe<sup>3+</sup>)<sub>2</sub>O<sub>3</sub>•0.5H<sub>2</sub>O,Fhy,4.FE.35,Hexagonal,Dihexagonal pyramidal,"Dark brown, yellow-brown",,,Yellow-brown,,,"Aggregates, microscopic crystals",
Ferrimolybdite,https://en.wikipedia.org/wiki/Ferrimolybdite,Fe3+2(MoO4)3·8(H2O) or Fe3+2(MoO4)3·n(H2O),Fe<sup>3+</sup><sub>2</sub>(MoO<sub>4</sub>)<sub>3</sub>·8(H<sub>2</sub>O)orFe<sup>3+</sup><sub>2</sub>(MoO<sub>4</sub>)<sub>3</sub>·n(H<sub>2</sub>O),Fmyb,7.GB.30,Orthorombic,Dipyramidal,"Canary-yellow, straw-yellow, greenish yellow",Distinct on {001},1-2,Light yellow,2.99,"Adamantine, silky, earthy","Acicular tufted to radial aggregates; powdery, earthy",
Ferro-actinolite,https://en.wikipedia.org/wiki/Ferro-actinolite,,,,,,,,,,,,,,
Ferrogedrite,https://en.wikipedia.org/wiki/Ferrogedrite,☐Fe2+2(Fe2+3Al2)(Si6Al2)O22(OH)2,☐Fe<sup>2+</sup><sub>2</sub>(Fe<sup>2+</sup><sub>3</sub>Al<sub>2</sub>)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>(OH)<sub>2</sub>,,9.DD.05,Orthorhombic,Dipyramidal,Pale greenish-gray to brown,"Perfect on {210}, with 54° and 126° intersections",5.5–6,Gray white,3566,Vitreous,Crystals prismatic to bladed; fibrous,
Ferrohortonolite,https://en.wikipedia.org/wiki/Ferrohortonolite,,,,,,,,,,,,,,
Ferronigerite-2N1S,https://en.wikipedia.org/wiki/Ferronigerite-2N1S,"(Zn,Mg,Fe2+)(Sn,Zn)2(Al,Fe3+)12O22(OH)2","(Zn,Mg,Fe<sup>2</sub>",Fng-2N1S,4.FC.20,Trigonal,Hexagonal scalenohedral,,,,,,,,
Ferropericlase,https://en.wikipedia.org/wiki/Ferropericlase,,,,,,,,,,,,,,
Ferroselite,https://en.wikipedia.org/wiki/Ferroselite,FeSe2,FeSe<sub>2</sub>,Fse,2.EB.10a,Orthorhombic,,"Steel-gray to tin-white with a rose tint, brass yellow",,6 - 6.5,Black,7.20,Metallic,Acicular prismatic,
Fettelite,https://en.wikipedia.org/wiki/Fettelite,Ag16HgAs4S15 (rruff) or [Ag6As2S7]·[Ag10HgAs2S8] (mindat.org),Ag<sub>16</sub>HgAs<sub>4</sub>S<sub>15</sub>(rruff)or<br/>[Ag<sub>6</sub>As<sub>2</sub>S<sub>7</sub>]·[Ag<sub>10</sub>HgAs<sub>2</sub>S<sub>8</sub>](mindat.org),Ftt,2.LA.30,Monoclinic,Sphenoidal,dark violet to red,perfect,3.5,dark vermillion,6.29,metallic,"flakes, hexagonal, micaceous",
Fichtelite,https://en.wikipedia.org/wiki/Fichtelite,C19H34,C<sub>19</sub>H<sub>34</sub>,Fic,10.BA.05,Monoclinic,Sphenoidal,"Colorless, white, pale yellow",Good on {001} and {100},1,White,0.631 calculated 1.032,Greasy,Elongated tabular crystals,
Fingerite,https://en.wikipedia.org/wiki/Fingerite,β-Cu2V2O5,β-Cu<sub>2</sub>V<sub>2</sub>O<sub>5</sub>,Fgr,8.BB.80,Triclinic,Pinacoidal,Black; medium gray in reflected light,None,,Dark reddish brown,,Metallic,Subhedral or anhedral; equant or platelike; up to 150 μm,
Fletcherite,https://en.wikipedia.org/wiki/Fletcherite,"Cu(Ni,Co)2S4","Cu(Ni,Co)<sub>4</sub>",Ftc,2.DA.05,Cubic,Hexoctahedral,"Steel gray, creamy white in polished section",,5,,4.76 calculated,Metallic,Minute subhedral to euhedral crystals typically enclosed within other sulfide minerals,
Fluckite,https://en.wikipedia.org/wiki/Fluckite,CaMnH2(AsO4)2·2(H2O) ,CaMnH<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·2(H<sub>2</sub>O),Fck,8.CB.15,Triclinic,Pinacoidal,"Colorless, Light to Dark Pink","(010) perfect, (100) good, (101) indistinct",3.5-4,White,3.05,"Subvitreous, waxy","Crystals prismatic, typically radiating to spherulitic",
Fluellite,https://en.wikipedia.org/wiki/Fluellite,Al2(PO4)F2(OH)•7H2O,Al<sub>2</sub>(PO<sub>4</sub>)F<sub>2</sub>(OH)•7H<sub>2</sub>O,Fll,8.DE.10,Orthorhombic,Dipyramidal,"Colorless, white, pale yellow",Indistinct on {001} and {111},3,,2.18,Vitreous,"Dipyramidal crystals commonly in aggregates; powdery, massive",
Fluoborite,https://en.wikipedia.org/wiki/Fluoborite,"Mg3(BO3)(F,OH)3","Mg<sub>3</sub>(BO<sub>3</sub>)(F,OH)<sub>3</sub>",Fbo,6.AB.50,Hexagonal,Dipyramidal,Colorless to violet or white,Good on {0001},3.5,white,2.98,Vitreous to silky,"Acicular, prismatic, stellate",
Fluocerite,https://en.wikipedia.org/wiki/Fluocerite,"(La,Ce)F3","(La,Ce)F3",,3.AC.15,Trigonal,Hexagonal scalenohedral,,"Indistinct, Imperfect",4-5,White,,Vitreous,"Platy, tabular",
Fluor-buergerite,https://en.wikipedia.org/wiki/Fluor-buergerite,"NaFe3+3Al6(BO3)3Si6O18(O,F,OH)4","NaFe<sup>3+</sup><sub>3</sub>Al<sub>6</sub>(BO<sub>3</sub>)<sub>3</sub>Si<sub>6</sub>O<sub>18</sub>(O,F,OH)<sub>4</sub>",Fbu,9.CK.05,Trigonal,Ditrigonal pyramidal,"Bronze, Dark Brown, Black, Dark Purple",Distinct prismatic,7,yellowish brown,3.31,,,
Fluor-liddicoatite,https://en.wikipedia.org/wiki/Fluor-liddicoatite,Ca(Li2Al)Al6(BO3)3Si6O18(OH)3F,Ca(Li<sub>2</sub>Al)Al<sub>6</sub>(BO<sub>3</sub>)<sub>3</sub>Si<sub>6</sub>O<sub>18</sub>(OH)<sub>3</sub>F,Fld,9.CK.05,Trigonal,Ditrigonal pyramidal,"Usually smoky brown, but also pink, red, green, blue, or rarely white.",Poor or absent on {0001},7.5,White to very light brown,3.02,Vitreous,"Stout prismatic, with a curved convex trigonal outline",
Fluor-uvite,https://en.wikipedia.org/wiki/Fluor-uvite,CaMg3(Al5Mg)(Si6O18)(BO3)3(OH)3F,CaMg<sub>3</sub>(Al<sub>5</sub>Mg)(Si<sub>6</sub>O<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>F,Fluvt,9.CK.05,Trigonal,Ditrigonal pyramidal,"Black, greenish-black, brownish-black, brown, green, colorless",None Observed,7.5,"Light-brown, light-green, or white",,"Vitreous, Resinous",,
Fluorapatite,https://en.wikipedia.org/wiki/Fluorapatite,Ca5(PO4)3F,Ca<sub>5</sub>(PO<sub>4</sub>)<sub>3</sub>F,Fap,8.BN.05,Hexagonal,Dipyramidal,"Sea-green, violet, purple, blue, pink, yellow, brown, white, colorless, may be zoned",Indistinct,5,White,3.1 to 3.2,"Vitreous, resinous to dull",Massive to prismatic crystalline,
Apophyllite-(KF),https://en.wikipedia.org/wiki/Fluorapophyllite,"KCa4Si8O20(F,OH)·8(H2O)","KCa<sub>4</sub>Si<sub>8</sub>O<sub>20</sub>(F,OH)·8(H<sub>2</sub>O)",Fapo,9.EA.15,Tetragonal,Ditetragonal dipyramidal,"Colorless, white, pink, pale, yellow, green; in thin section, colorless","Perfect on {001}, imperfect on {110}",4.5-5,,2.33-2.37,"Vitreous, pearly on {001}",Tabular to prismatic crystals; may be pseudocubic,
Fluorcanasite,https://en.wikipedia.org/wiki/Fluorcanasite,K3Na3Ca5Si12O30F4•H2O,K<sub>3</sub>Na<sub>3</sub>Ca<sub>5</sub>Si<sub>12</sub>O<sub>30</sub>F<sub>4</sub>•H<sub>2</sub>O,,9.DG.80,Monoclinic,Domatic,Light Yellow,Eminent on {100} and {201} Perfect on {001},5,White,2.68,Vitreous,,
Fluorcaphite,https://en.wikipedia.org/wiki/Fluorcaphite,SrCaCa3(PO4)3F,SrCaCa<sub>3</sub>(PO<sub>4</sub>)3F,,7.B.39-95,Hexagonal,Dipyrimidal,,,5,White,,Vitreous,"Prismatic, Subhedral crystals",
Fluorellestadite,https://en.wikipedia.org/wiki/Fluorellestadite,Ca10(SiO4)3(SO4)3F2,Ca<sub>10</sub>(SiO<sub>4</sub>)<sub>3</sub>(SO<sub>4</sub>)<sub>3</sub>F<sub>2</sub>,Fel,9.AH.25,Hexagonal,Dipyramidal,"Light red, yellow, bluish green or colorless",Imperfect on {0001},4.5,White with a weak bluish tint,3.03 to 3.07,Sub-resinous to vitreous,"Acicular or hexagonal prismatic crystals, and fine-grained aggregates",
Fluorite,https://en.wikipedia.org/wiki/Fluorite,CaF2,CaF<sub>2</sub>,Flr,3.AB.25,Isometric,Hexoctahedral,"Colorless, although samples are often deeply colored owing to impurities; Purple, lilac, golden-yellow, green, blue, pink, champagne, brown.","Octahedral, perfect on {111}, parting on {011}",4,White,3.175–3.184; to 3.56 if high in rare-earth elements,Vitreous,"Well-formed coarse sized crystals; also nodular, botryoidal, rarely columnar or fibrous; granular, massive",
Fluoro-richterite,https://en.wikipedia.org/wiki/Fluororichterite,Na(NaCa)Mg5Si8O22F2,Na(NaCa)Mg<sub>5</sub>Si<sub>8</sub>O<sub>22</sub>F<sub>2</sub>,Flrct,9.DE.20,Monoclinic,Prismatic,"Brown to brownish-red, rose-red, yellow, grey-brown, also pale to dark green",,5 - 6,White,3.17,Vitreous,,
Fontarnauite,https://en.wikipedia.org/wiki/Fontarnauite,"(Na,K)2(Sr,Ca)(SO4)[B5O8(OH)]·2H2O","(Na,K)<sub>8</sub>(OH)]·2H<sub>2</sub>O",Fon,6.DA.60,Monoclinic,Prismatic,Light brown,Perfect {010},2.5 - 3,,,,,
Fornacite,https://en.wikipedia.org/wiki/Fornacite,Pb2Cu(CrO4)(AsO4)(OH),Pb<sub>2</sub>Cu(CrO<sub>4</sub>)(AsO<sub>4</sub>)(OH),For,7.FC.10,Monoclinic,Prismatic,Deep olive-green,,2 - 3,Olive green,,"Resinous, waxy, greasy","Aggregates of steep pyramidal to bladed, rounded crystals",
Forsterite,https://en.wikipedia.org/wiki/Forsterite,Magnesium silicate (Mg2SiO4),Magnesiumsilicate(Mg<sub>2</sub>SiO<sub>4</sub>),Fo,9.AC.05,Orthorhombic,Dipyramidal,"Colorless, green, yellow, yellow green, white",Perfect on {010} imperfect on {100},7,White,3.21 – 3.33,Vitreous,"Dipyramidal prisms often tabular, commonly granular or compact massive",
Fougèrite,https://en.wikipedia.org/wiki/Foug%C3%A8rite,[Fe2+4Fe3+2(OH)12][CO3]·3H2O,[Fe<sup>2+</sup><sub>4</sub>Fe<sup>3+</sup><sub>2</sub>(OH)<sub>12</sub>][CO<sub>3</sub>]·3H<sub>2</sub>O,Fgè,4.FL.05,Trigonal,Hexagonal scalenohedral,,,,,,Earthy,,
Fourmarierite,https://en.wikipedia.org/wiki/Fourmarierite,Pb(UO2)4O3(OH)4•4H2O,Pb(UO<span>2</sub></span>O,Fmr,4.GB.25,Orthorhombic,Pyramidal,"Red, golden-red, brown","On {001}, perfect",3 - 4,,,Adamantine,,
Fraipontite,https://en.wikipedia.org/wiki/Fraipontite,"(Zn,Al)3(Si,Al)2O5(OH)4","(Zn,Al)<sub>4</sub>",Fpt,9.ED.15,Monoclinic,Domatic,"Blueish, yellow white light green",,3.5 – 4,White to pale green,3.08 – 3.10,Silky,Fibrous to porcelaneous massive,
Francevillite,https://en.wikipedia.org/wiki/Francevillite,"(Ba,Pb)(UO2)2V2O8·5(H2O)","(Ba,Pb)(UO<sub>2</sub>O)",Fvl,4.HB.15,Orthorhombic,Dipyramidal,"Lemon-yellow, yellow-orange, orange, greenish yellow; green, brown","On {001}, perfect",3,Light yellow,4.55,Adamantine - pearly,"Aggregates and incrustations of crystals, also massive, in veinlets and as impregnations",
Franckeite,https://en.wikipedia.org/wiki/Franckeite,"(Pb,Sn2+)6Fe2+Sn2Sb2S14","(Pb,Sn<sup>2+</sup>)<sub>6</sub>Fe<sup>2+</sup>Sn<sub>2</sub>Sb<sub>2</sub>S<sub>14</sub>",Fke,2.HF.25b,Triclinic,Pinacoidal,Grayish black,"{010}, perfect",2.5 - 3,Grayish black,5.88 – 5.92,Metallic,"Typically in spherical, rosette aggregates of thin plates; commonly massive, radiated, or foliated",
Frankamenite,https://en.wikipedia.org/wiki/Frankamenite,"K3Na3Ca5(Si12O30)[F,(OH)]4·(H2O)","K<sub>3</sub>Na<sub>3</sub>Ca<sub>5</sub>(Si<sub>12</sub>O<sub>30</sub>)[F,(OH)]<sub>4</sub>·(H<sub>2</sub>O)",Fkm,9.DG.90,Triclinic,Pedial,"Greenish blue, bluish gray, greenish gray, lilac gray",Good on (010) and (100),5.5,Pale blue,2.68,Vitreous,"Lath, columnar",
Frankdicksonite,https://en.wikipedia.org/wiki/Frankdicksonite,BaF2,BaF<sub>2</sub>,Fds,3.AB.25,Isometric,Hexoctahedral,Colorless,{111} perfect,2.5,White,4.89,Vitreous,Prismatic tabular striated parallel to [001],
Frankhawthorneite,https://en.wikipedia.org/wiki/Frankhawthorneite,Cu2Te6+O4(OH)2,Cu<sub>2</sub>Te<sup>6+</sup>O<sub>4</sub>(OH)<sub>2</sub>,Fht,4.FD.25,Monoclinic,Prismatic,Medium leaf-green,,3-4,Pale ;eaf-green,5.43,Vitreous,,
Franklinite,https://en.wikipedia.org/wiki/Franklinite,ZnFe2O4,ZnFe<sub>2</sub>O<sub>4</sub>,Frk,4.BB.05,Cubic,Hexoctahedral,black,None; indistinct octahedral parting in four directions,5.5-6,reddish brown to black,5.07 - 5.22,"metallic, often dull",octahedral,
Franklinphilite,https://en.wikipedia.org/wiki/Franklinphilite,"K4(Mn)48(Si,Al)72(O,OH)216·n(H2O) (with n~6)",K<sub>2</sub>O),Fkp,9.EG.40,Triclinic,Unknown space group,Dark brown,Imperfect on {001},4,,2.6 - 2.8,Vitreous to slightly resinous,Fine radial aggregates; pseudo-hexagonal,
Freibergite,https://en.wikipedia.org/wiki/Freibergite,Cu12Sb4S13,Cu<sub>12</sub>Sb<sub>4</sub>S<sub>13</sub>,Fb,2.GB.05,Cubic,Hextetrahedral,Steel gray to black,None,3.52 - 4,reddish black,,Metallic,massive to well formed crystals,
Freieslebenite,https://en.wikipedia.org/wiki/Freieslebenite,AgPbSbS3,AgPbSbS<sub>3</sub>,Flb,2.JB.15,Monoclinic,Prismatic,Pale steel-gray to silver-white or lead-gray,{110} Indistinct,2.5,Whitish-gray,6.20-6.23,Metallic,"Striated, prismatic crystals, inclusions and exsolutions in galena and other silver minerals",
Fukuchilite,https://en.wikipedia.org/wiki/Fukuchilite,Cu3FeS8,Cu<sub>3</sub>FeS<sub>8</sub>,Fuk,2.EB.05a,Cubic,Diploidal,Dark brownish gray; pinkish brown in polished section,,4 - 6,,4.86,Submetallic,"As intergrowths with pyrite and covellite, grains less than 1 μm",
Gabrielite,https://en.wikipedia.org/wiki/Gabrielite,"Tl6Ag3Cu6(As,Sb)9S21",Tl<sub>21</sub>,Gab,2.HD.60,Triclinic,Pinacoidal,Grey to black,Perfect on {001},1.5 - 2,Blackish red,,Metallic,Pseudo Hexagonal,
Gadolinite,https://en.wikipedia.org/wiki/Gadolinite,"(Ce,La,Nd,Y)2FeBe2Si2O10","(Ce,La,Nd,Y)<sub>10</sub>",Gad,9.AJ.20,Monoclinic,Prismatic,,,,,,,,
Gagarinite-(Ce),https://en.wikipedia.org/wiki/Gagarinite-(Ce),Na(REExCa1−x)(REEyCa1−y)F6,Na(REE<sub><i>x</i></sub>Ca<sub>1−<i>x</i></sub>)(REE<sub><i>y</i></sub>Ca<sub>1−<i>y</i></sub>)F<sub>6</sub>,Gag-Ce,3.AB.35,Trigonal,Rhombohedral,"Colorless, pale pink, orange",None,3.5,,4.44–4.55,Vitreous,Granular,
Gahnite,https://en.wikipedia.org/wiki/Gahnite,ZnAl2O4,ZnAl<sub>2</sub>O<sub>4</sub>,Ghn,4.BB.05,Cubic,Hexoctahedral,"Dark green, bluish green, blue to indigo, yellow to brown",Indistinct parting on [111],7.5–8.0,Grey,4.38–4.60,Vitreous,"Typically octahedra, rarely as dodecahedra also massive to granular",
Galaxite,https://en.wikipedia.org/wiki/Galaxite,MnAl2O4,MnAl<sub>2</sub>O<sub>4</sub>,Glx,4.BB.05,Cubic,Hexoctahedral,"Black, red-brown, red to yellow",Indistinct to none,7.5,Red-brown,4234,Vitreous,Octahedra and rounded grains and exolution blebs,
Galena,https://en.wikipedia.org/wiki/Galena,PbS,PbS,Gn,2.CD.10,Cubic,Hexoctahedral,Lead gray and silvery,"Cubic perfect on {001}, parting on {111}",2.5–2.75,Lead gray,7.2–7.6,Metallic on cleavage planes,"Cubes and octahedra, blocky, tabular and sometimes skeletal crystals",
Galkhaite,https://en.wikipedia.org/wiki/Galkhaite,"(Cs,Tl)(Hg,Cu,Zn)6(As,Sb)4S12","(Cs,Tl)(Hg,Cu,Zn)<sub>12</sub>",Gkh,2.GB.20,Cubic,Hextetrahedral,,,,,,,,
Gananite,https://en.wikipedia.org/wiki/Gananite,BiF3,BiF<sub>3</sub>,Gan,3.AC.20,Cubic,Hextetrahedral,"Brown to black, greenish black",,3.5,Dark grey,8.928 calculated,Resinous to semimetallic,Aggregates,
Ganophyllite,https://en.wikipedia.org/wiki/Ganophyllite,"(K,Na,Ca)2Mn8(Si,Al)12(O,OH)32 · 8H2O","(K,Na,Ca)<sub>2</sub>Mn<sub>8</sub>(Si,Al)<sub>12</sub>(O,OH)<sub>32</sub>·8H<sub>2</sub>O",Gnp,9.EG.30,Monoclinic,Prismatic,Brownish yellow to cinnamon brown,Perfect on {???},4 - 4.5,Brownish yellow,2.84,Vitreous,Foliated micaceous,
Garnet,https://en.wikipedia.org/wiki/Garnet,The general formula X3Y2(SiO4)3,Thegeneralformula<i>X</i><sub>3</sub><i>Y</i><sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,Grt,,Isometric,,"virtually all colors, blue is rare",Indistinct,6.5–7.5,White,3.1–4.3,vitreous to resinous,Rhombic dodecahedron or cubic,"Pyrope (None), Almandine (None), Spessartine (None), Andradite (None), Grossular (None), Uvarovite (None)"
Gaspéite,https://en.wikipedia.org/wiki/Gaspeite,"(Ni,Fe,Mg)CO3","(Ni,Fe,Mg)CO<sub>3</sub>",Gpé,5.AB.05,Trigonal,Hexagonal scalenohedral,"Pale green, light grass or apple green",{1011} Good,4.5 - 5,Yellow green,3.71,Vitreous to dull,"Rhombic crystal aggregates, nodular concretions (botryoidal), massive",
Gatehouseite,https://en.wikipedia.org/wiki/Gatehouseite,Mn5(PO4)2(OH)4,Mn<sub>5</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>,Ghs,8.BD.10,Orthorhombic,Disphenoidal,Brownish orange to yellow,Distinct on {010},4,Pale yellow,,Adamantine,,
Gaylussite,https://en.wikipedia.org/wiki/Gaylussite,Na2Ca(CO3)2·5H2O,Na<sub>2</sub>Ca(CO<sub>3</sub>)<sub>2</sub>·5H<sub>2</sub>O,Gyl,5.CB.35,Monoclinic,Prismatic,"Colorless, white, yellow, and grey",perfect [110],2.5,white,1.93 - 1.99,vitreous,Tabular prismatic crystals also granular,
Gedrite,https://en.wikipedia.org/wiki/Gedrite,Mg2(Mg3Al2)(Si6Al2)O22(OH)2,Mg<sub>2</sub>,Ged,9.DD.05,Orthorhombic,Dipyramidal,"White, gray, brown, green, black",56 and 126° - good; {210} perfect,5.5 - 6,,3.18 - 3.33,Vitreous to silky,Bladed and prismatic crystals; fibrous and sheath like aggregates.,
Geerite,https://en.wikipedia.org/wiki/Geerite,Cu8S5,Cu<sub>8</sub>S<sub>5</sub>,Gee,2.BA.05c,Trigonal,,Bluish white in reflected light,,3.5-4,,5.61,Metallic,Platy - sheet forms (e.g. micas); pseudocubic,
Gehlenite,https://en.wikipedia.org/wiki/Gehlenite,Ca2Al[AlSiO7],Ca<sub>2</sub>Al[AlSiO<sub>7</sub>],Gh,9.BB.10,Tetragonal,Scalenohedral,,Distinct/good,5-6,"white, grey-white",,,,
Geigerite,https://en.wikipedia.org/wiki/Geigerite,Mn5(AsO3OH)2(AsO4)2·10H2O,Mn<sub>5</sub>(AsO<sub>3</sub>OH)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·10H<sub>2</sub>O,Gga,8.CE.05,Triclinic,Pinacoidal,"Red, colorless",Perfect,3,White,3.05,Vitreous - pearly,"Platy, partly triangular crystals to 0.5 mm",
Geikielite,https://en.wikipedia.org/wiki/Geikielite,MgTiO3,MgTiO<sub>3</sub>,Gk,4.CB.05,Trigonal,Rhombohedral,"Black, ruby red uncommon; red internal reflections",Good on {1011},5 - 6,Purplish brown,3.79 - 4.2,Sub-metallic,"Tabular prismatic crystals, also as finely granular masses",
Gembone,https://en.wikipedia.org/wiki/Gembone,,,,,,,,,,,,,,
Geocronite,https://en.wikipedia.org/wiki/Geocronite,"Pb14(Sb, As)6S23","Pb<sub>14</sub>(Sb,As)<sub>6</sub>S<sub>23</sub>",Geo,2.JB.30a,Monoclinic,Prismatic,,,,,,,,
Georgerobinsonite,https://en.wikipedia.org/wiki/Georgerobinsonite,Pb4(CrO4)2(OH)2FCl,Pb<sub>4</sub>(CrO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>FCl,Grb,,Orthorombic,Dipyramidal,Orange-red,None,2.5–3,Pale orange,,Adamantine luster,,
Germanite,https://en.wikipedia.org/wiki/Germanite,Cu26Ge4Fe4S32,Cu<sub>26</sub>Ge<sub>4</sub>Fe<sub>4</sub>S<sub>32</sub>,Ger,2.CB.30,Isometric,Hextetrahedral,Reddish grey tarnishing to dark brown,None,4,Dark grey to black,4.4 to 4.6,Metallic,Usually massive; rarely as minute cubic crystals,
Gersdorffite,https://en.wikipedia.org/wiki/Gersdorffite,NiAsS,NiAsS,,2.EB.25,,,silver white to steel gray,,5-5.5,grayish black,5.6-6.2,,,
Getchellite,https://en.wikipedia.org/wiki/Getchellite,AsSbS3,AsSbS<sub>3</sub>,Get,2.FA.35,Monoclinic,Prismatic,"Dark red, sometimes with a purple to green iridescent tarnish",Perfect on {001},1.5 to 2,Orange red,3.92 (observed) 4.0 (calculated),"Vitreous to pearly on cleavage surfaces, otherwise resinous",Subhedral crystals and massive with a platy texture,
Gibbsite,https://en.wikipedia.org/wiki/Gibbsite,Al(OH)3,Al(OH)<sub>3</sub>,Gbb,4.FE.10,Monoclinic,Prismatic,,,2.5-3,,2.35,,,
Gilalite,https://en.wikipedia.org/wiki/Gilalite,Cu5Si6O17·7(H2O),Cu<sub>5</sub>Si<sub>6</sub>O<sub>17</sub>·7(H<sub>2</sub>O),Gil,9.HE.05,Monoclinic,Unknown space group,"Blue green, green",,2,Light green,2.72,Nonmetallic,Raidiating fibrous in spherules,
Gismondine,https://en.wikipedia.org/wiki/Gismondine,CaAl2Si2O8·4(H2O),CaAl<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>·4(H<sub>2</sub>O),,,Monoclinic,Prismatic,,,,,,,,
